Date,Visitor,VisitorPts,Home,HomePts
3/10/2013,POR,96,MIN,98
3/10/2013,BOS,79,OKC,91
3/10/2013,PHI,91,ORL,99
3/10/2013,MIA,115,SAC,113
3/10/2013,CLE,96,TOR,100
3/11/2013,NYK,63,GSW,92
3/11/2013,BRK,97,PHI,106
3/11/2013,DEN,108,PHO,93
3/11/2013,OKC,93,SAS,105
3/11/2013,DET,90,UTA,103
3/12/2013,MIN,98,BRK,108
3/12/2013,BOS,74,BRK,100
3/12/2013,WAS,90,CLE,95
3/12/2013,ATL,81,MIA,98
3/12/2013,DAL,115,MIA,108
3/12/2013,SAS,83,MIN,107
3/12/2013,LAL,106,ORL,97
3/12/2013,MEM,102,POR,97
3/13/2013,LAL,92,ATL,96
3/13/2013,TOR,88,BOS,112
3/13/2013,NYK,94,DEN,117
3/13/2013,DET,97,GSW,105
3/13/2013,PHO,81,HOU,111
3/13/2013,MIN,91,IND,107
3/13/2013,MEM,96,LAC,85
3/13/2013,UTA,87,OKC,110
3/13/2013,MIA,98,PHI,94
3/13/2013,CHI,79,SAC,121
3/13/2013,MIA,93,WAS,106
3/14/2013,NYK,90,POR,105
3/14/2013,DAL,91,SAS,92
3/15/2013,PHO,94,ATL,107
3/15/2013,CLE,86,DAL,96
3/15/2013,MEM,80,DEN,87
3/15/2013,CHI,113,GSW,95
3/15/2013,MIN,100,HOU,108
3/15/2013,LAL,99,IND,93
3/15/2013,MIA,107,MIA,94
3/15/2013,ORL,104,OKC,117
3/15/2013,BRK,78,TOR,92
3/15/2013,MIN,87,WAS,96
3/16/2013,BRK,88,BOS,105
3/16/2013,IND,91,PHI,98
3/16/2013,DET,101,POR,112
3/16/2013,CLE,113,SAS,119
3/16/2013,MEM,84,UTA,90
3/16/2013,PHO,105,WAS,127
3/17/2013,ATL,105,BRK,93
3/17/2013,OKC,107,DAL,101
3/17/2013,GSW,108,HOU,78
3/17/2013,NYK,80,LAC,93
3/17/2013,SAC,102,LAL,113
3/17/2013,ORL,109,MIA,115
3/17/2013,MIN,95,MIN,97
3/17/2013,MIA,108,TOR,91
3/18/2013,DAL,127,ATL,113
3/18/2013,MIA,105,BOS,103
3/18/2013,WAS,114,BRK,119
3/18/2013,DEN,119,CHI,118
3/18/2013,IND,111,CLE,90
3/18/2013,BRK,119,DET,82
3/18/2013,MIN,77,MEM,92
3/18/2013,GSW,93,MIN,72
3/18/2013,POR,100,PHI,101
3/18/2013,LAL,76,PHO,99
3/18/2013,NYK,90,UTA,83
3/19/2013,ORL,73,IND,95
3/19/2013,POR,95,MIA,102
3/19/2013,DEN,114,OKC,104
3/19/2013,LAC,101,SAC,116
3/20/2013,MIA,90,ATL,98
3/20/2013,TOR,101,BRK,107
3/20/2013,MIA,98,CLE,95
3/20/2013,BRK,113,DAL,96
3/20/2013,UTA,93,HOU,100
3/20/2013,PHI,72,LAC,101
3/20/2013,OKC,89,MEM,90
3/20/2013,BOS,86,MIN,87
3/20/2013,ORL,94,NYK,106
3/20/2013,WAS,88,PHO,79
3/20/2013,GSW,93,SAS,104
3/21/2013,POR,99,CHI,89
3/21/2013,PHI,100,DEN,101
3/21/2013,MIN,98,SAC,101
3/22/2013,POR,104,ATL,93
3/22/2013,BOS,94,DAL,104
3/22/2013,CLE,78,HOU,116
3/22/2013,MIA,78,IND,102
3/22/2013,WAS,103,LAL,100
3/22/2013,DET,89,MIA,103
3/22/2013,MEM,83,MIN,90
3/22/2013,OKC,97,ORL,89
3/22/2013,MIN,117,PHO,86
3/22/2013,UTA,97,SAS,104
3/22/2013,NYK,99,TOR,94
3/23/2013,DET,92,BRK,91
3/23/2013,IND,84,CHI,87
3/23/2013,SAC,95,DEN,101
3/23/2013,WAS,92,GSW,101
3/23/2013,BRK,95,LAC,101
3/23/2013,BOS,106,MEM,110
3/23/2013,TOR,84,NYK,110
3/24/2013,UTA,108,DAL,113
3/24/2013,SAS,95,HOU,96
3/24/2013,BRK,77,MIA,109
3/24/2013,ATL,104,MIA,99
3/24/2013,CHI,104,MIN,97
3/24/2013,POR,83,OKC,103
3/24/2013,BRK,102,PHO,100
3/24/2013,PHI,117,SAC,103
3/25/2013,LAL,103,GSW,109
3/25/2013,ATL,94,IND,100
3/25/2013,DEN,86,MIN,110
3/25/2013,MIA,108,ORL,94
3/25/2013,PHI,91,UTA,107
3/25/2013,MEM,94,WAS,107
3/26/2013,NYK,100,BOS,85
3/26/2013,LAC,102,DAL,109
3/26/2013,MIN,105,DET,82
3/27/2013,ORL,108,BRK,114
3/27/2013,MIA,97,CHI,101
3/27/2013,BOS,93,CLE,92
3/27/2013,SAC,105,GSW,98
3/27/2013,IND,100,HOU,91
3/27/2013,LAL,120,MIN,117
3/27/2013,LAC,105,MIN,91
3/27/2013,MEM,101,NYK,108
3/27/2013,WAS,80,OKC,103
3/27/2013,MIA,92,PHI,100
3/27/2013,BRK,111,POR,93
3/27/2013,DEN,99,SAS,100
3/27/2013,ATL,107,TOR,88
3/27/2013,PHO,88,UTA,103
3/28/2013,IND,103,DAL,78
3/28/2013,LAL,103,MIA,113
3/28/2013,SAC,117,PHO,103
3/29/2013,ATL,107,BOS,118
3/29/2013,PHI,97,CLE,87
3/29/2013,BRK,87,DEN,109
3/29/2013,TOR,99,DET,82
3/29/2013,HOU,94,MEM,103
3/29/2013,OKC,93,MIN,101
3/29/2013,MIA,108,MIN,89
3/29/2013,BRK,102,NYK,111
3/29/2013,WAS,92,ORL,97
3/29/2013,UTA,105,POR,95
3/29/2013,LAC,102,SAS,104
3/30/2013,ORL,88,ATL,97
3/30/2013,CHI,98,DAL,100
3/30/2013,POR,98,GSW,125
3/30/2013,LAC,81,HOU,98
3/30/2013,OKC,109,MIA,99
3/30/2013,MEM,99,MIN,86
3/30/2013,BRK,92,PHI,100
3/30/2013,IND,112,PHO,104
3/30/2013,LAL,103,SAC,98
3/30/2013,BRK,107,UTA,116
3/31/2013,DET,94,CHI,95
3/31/2013,CLE,92,MIN,112
3/31/2013,BOS,89,NYK,108
3/31/2013,MIA,88,SAS,86
3/31/2013,TOR,92,WAS,109
4/1/2013,CLE,94,ATL,102
4/1/2013,ORL,103,HOU,111
4/1/2013,IND,109,LAC,106
4/1/2013,SAS,90,MEM,92
4/1/2013,BRK,102,MIA,131
4/1/2013,BOS,100,MIN,110
4/1/2013,DET,108,TOR,98
4/1/2013,POR,102,UTA,112
4/2/2013,DAL,81,LAL,101
4/2/2013,NYK,102,MIA,90
4/2/2013,CHI,86,WAS,90
4/3/2013,NYK,95,ATL,82
4/3/2013,DET,93,BOS,98
4/3/2013,PHI,83,BRK,88
4/3/2013,BRK,113,CLE,95
4/3/2013,MIN,88,GSW,98
4/3/2013,PHO,101,LAC,126
4/3/2013,MIN,107,MIA,98
4/3/2013,MEM,94,POR,76
4/3/2013,HOU,112,SAC,102
4/3/2013,ORL,84,SAS,98
4/3/2013,WAS,78,TOR,88
4/3/2013,DEN,113,UTA,96
4/4/2013,CHI,92,BRK,90
4/4/2013,DAL,94,DEN,95
4/4/2013,SAS,88,OKC,100
4/5/2013,PHI,101,ATL,90
4/5/2013,CLE,97,BOS,91
4/5/2013,MIA,89,BRK,79
4/5/2013,ORL,86,CHI,87
4/5/2013,OKC,97,IND,75
4/5/2013,MEM,84,LAL,86
4/5/2013,TOR,95,MIN,93
4/5/2013,MIA,83,NYK,101
4/5/2013,GSW,111,PHO,107
4/5/2013,HOU,116,POR,98
4/5/2013,DAL,117,SAC,108
4/5/2013,MIN,83,UTA,95
4/6/2013,BRK,96,BRK,105
4/6/2013,HOU,114,DEN,132
4/6/2013,PHI,87,MIA,106
4/6/2013,TOR,83,MIA,100
4/6/2013,DET,101,MIN,107
4/6/2013,ATL,97,SAS,99
4/6/2013,IND,85,WAS,104
4/7/2013,WAS,96,BOS,107
4/7/2013,ORL,85,CLE,91
4/7/2013,CHI,85,DET,99
4/7/2013,UTA,97,GSW,90
4/7/2013,LAL,95,LAC,109
4/7/2013,NYK,125,OKC,120
4/7/2013,MIN,95,PHO,92
4/7/2013,DAL,96,POR,91
4/7/2013,MEM,89,SAC,87
4/9/2013,PHI,83,BRK,104
4/9/2013,TOR,101,CHI,98
4/9/2013,MIN,89,GSW,105
4/9/2013,PHO,98,HOU,101
4/9/2013,CLE,94,IND,99
4/9/2013,MIN,96,LAL,104
4/9/2013,BRK,75,MEM,94
4/9/2013,MIA,83,MIA,94
4/9/2013,WAS,99,NYK,120
4/9/2013,OKC,90,UTA,80
4/10/2013,BRK,101,BOS,93
4/10/2013,DET,111,CLE,104
4/10/2013,PHO,102,DAL,91
4/10/2013,SAS,86,DEN,96
4/10/2013,MIN,95,LAC,111
4/10/2013,MIA,103,ORL,113
4/10/2013,ATL,124,PHI,101
4/10/2013,LAL,113,POR,106
4/10/2013,MIN,110,SAC,121
4/10/2013,MIA,103,WAS,98
4/11/2013,NYK,111,CHI,118
4/11/2013,OKC,116,GSW,97
4/12/2013,MIA,104,ATL,109
4/12/2013,NYK,101,CLE,91
4/12/2013,DEN,105,DAL,108
4/12/2013,BRK,93,DET,113
4/12/2013,MEM,82,HOU,78
4/12/2013,BRK,117,IND,109
4/12/2013,GSW,116,LAL,118
4/12/2013,BOS,101,MIA,109
4/12/2013,LAC,96,MIN,93
4/12/2013,OKC,106,POR,90
4/12/2013,SAC,101,SAS,108
4/12/2013,CHI,88,TOR,97
4/12/2013,MIN,100,UTA,107
4/12/2013,PHI,97,WAS,86
4/13/2013,MIA,85,BRK,95
4/13/2013,LAC,91,MEM,87
4/13/2013,PHO,93,MIN,105
4/13/2013,BOS,120,ORL,88
4/14/2013,POR,109,DEN,118
4/14/2013,SAC,100,HOU,121
4/14/2013,SAS,86,LAL,91
4/14/2013,CHI,93,MIA,105
4/14/2013,DAL,107,MIN,89
4/14/2013,IND,80,NYK,90
4/14/2013,CLE,77,PHI,91
4/14/2013,BRK,87,TOR,93
4/15/2013,WAS,101,BRK,106
4/15/2013,NYK,95,BRK,106
4/15/2013,MIA,96,CLE,95
4/15/2013,MEM,103,DAL,97
4/15/2013,PHI,101,DET,109
4/15/2013,SAS,106,GSW,116
4/15/2013,DEN,112,MIA,111
4/15/2013,UTA,96,MIN,80
4/15/2013,SAC,95,OKC,104
4/15/2013,CHI,102,ORL,84
4/15/2013,HOU,112,PHO,119
4/16/2013,TOR,113,ATL,96
4/16/2013,POR,77,LAC,93
4/17/2013,DET,99,BRK,103
4/17/2013,CLE,98,BRK,105
4/17/2013,WAS,92,CHI,95
4/17/2013,MIN,87,DAL,99
4/17/2013,PHO,98,DEN,118
4/17/2013,PHI,105,IND,95
4/17/2013,HOU,95,LAL,99
4/17/2013,UTA,70,MEM,86
4/17/2013,ORL,93,MIA,105
4/17/2013,ATL,92,NYK,98
4/17/2013,MIA,95,OKC,89
4/17/2013,GSW,99,POR,88
4/17/2013,LAC,112,SAC,108
4/17/2013,MIN,108,SAS,95
4/17/2013,BOS,90,TOR,114
